0; 0; 0; 
0,1; 0,0508021; 0,96812; 
0,2; 0,181927; 1,59221; 
0,3; 0,356151; 1,8306; 
0,4; 0,536459; 1,72672; 
0,5; 0,693375; 1,38164; 
0,6; 0,773663; 0,0743014; 
0,7; 0,716846; -1,15683; 
0,8; 0,555095; -2,00842; 
0,9; 0,330563; -2,40413; 
1; 0,0901623; -2,33094; 
1,1; -0,122375; -1,86688; 
1,2; -0,275136; -1,16327; 
1,3; -0,352749; -0,390538; 
1,4; -0,355844; 0,306802; 
1,5; -0,297402; 0,827238; 
1,6; -0,198296; 1,11463; 
1,7; -0,0827163; 1,1588; 
1,8; 0,0263645; 0,993237; 
1,9; 0,111086; 0,684157; 
2; 0,161086; 0,312096; 
2,1; 0,173982; -0,0465327; 
2,2; 0,154267; -0,33219; 
2,3; 0,111252; -0,50866; 
2,4; 0,0566162; -0,564754; 
2,5; 0,00198227; -0,512115; 
2,6; -0,0431044; -0,379481; 
2,7; -0,0724922; -0,204572; 
2,8; -0,0838935; -0,02565; 
2,9; -0,0785773; 0,125342; 
3; -0,0604978; 0,227134; 
3,1; -0,0351206; 0,270846; 
3,2; -0,00819958; 0,259312; 
3,3; 0,0152799; 0,20453; 
3,4; 0,0318359; 0,12391; 
3,5; 0,039828; 0,0362327; 
3,6; 0,0394104; -0,0418977; 
3,7; 0,0321791; -0,0985584; 
3,8; 0,0206316; -0,127733; 
3,9; 0,00756802; -0,129295; 
4; -0,00445312; -0,107966; 
4,1; -0,0135187; -0,0716223; 
4,2; -0,0185788; -0,0293375; 
4,3; -0,0194742; 0,0104189; 
4,4; -0,0168025; 0,0411543; 
4,5; -0,0116767; 0,0591286; 
4,6; -0,00543751; 0,0635097; 
4,7; 0,000622587; 0,0559926; 
4,8; 0,00547639; 0,0400463; 
4,9; 0,00849364; 0,0199855; 
5; 0,00947935; 6,31254e-05; 
5,1; 0,00862907; -0,0162625; 
5,2; 0,00642396; -0,0267882; 
5,3; 0,00349492; -0,0307238; 
5,4; 0,000485205; -0,0285746; 
5,5; -0,00206431; -0,0218181; 
5,6; -0,00379118; -0,0124702; 
5,7; -0,00454242; -0,0026347; 
5,8; -0,00436336; 0,00588039; 
5,9; -0,00345377; 0,0118253; 
6; -0,00210499; 0,0146259; 
6,1; -0,0006324; 0,0143619; 
6,2; 0,000684095; 0,0116345; 
6,3; 0,00164257; 0,00736666; 
6,4; 0,00214026; 0,0025836; 
6,5; 0,00217358; -0,00178504; 
6,6; 0,00182082; -0,00505043; 
6,7; 0,00121355; -0,0068414; 
6,8; 0,000504064; -0,00711179; 
6,9; -0,000165079; -0,00608968; 
7; -0,000684181; -0,00418785; 
7,1; -0,000989645; -0,00189817; 
7,2; -0,00106675; 0,000308773; 
7,3; -0,000943363; 0,00206207; 
7,4; -0,00067737; 0,00313729; 
7,5; -0,000341105; 0,00346923; 
7,6; -6,09063e-06; 0,00313445; 
7,7; 0,00026932; 0,00231222; 
7,8; 0,000447764; 0,00123458; 
7,9; 0,0005156; 0,000136229; 
8; 0,000480996; -0,000787043; 
8,1; 0,000368554; -0,0014055; 
8,2; 0,000212031; -0,0016662; 
8,3; 4,67784e-05; -0,00158835; 
8,4; -9,67276e-05; -0,00124686; 
8,5; -0,000197333; -0,000749198; 
8,6; -0,000245214; -0,000210656; 
8,7; -0,000241548; 0,000267195; 
8,8; -0,00019631; 0,00061179; 
8,9; -0,000124938; 0,000787008; 
9; -4,46455e-05; 0,000792883; 
9,1; 2,89134e-05; 0,000659054; 
9,2; 8,40957e-05; 0,000434223; 
9,3; 0,00011458; 0,00017418; 
9,4; 0,00011951; -6,92271e-05; 
9,5; 0,000102649; -0,00025645; 
9,6; 7,08937e-05; -0,000364928; 
9,7; 3,24926e-05; -0,000389951; 
9,8; -4,6359e-06; -0,000342258; 
9,9; -3,42301e-05; -0,000243357; 
10; -5,24797e-05; -0,000119813; 